# curie_map:
#   owl: http://www.w3.org/2002/07/owl#
#   schema: https://schema.org/
#   dct: http://purl.org/dc/terms/
#   dcat: http://www.w3.org/ns/dcat#
#   kobo: https://example.org/kobo/
#   gdsc: https://gdsc.idsc.miami.edu/terms/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   ext: https://example.org/sssom-extensions/
#   qudt: http://qudt.org/schema/qudt/
#   unit: http://qudt.org/vocab/unit/
#   xsd: http://www.w3.org/2001/XMLSchema#
#   pato: http://purl.obolibrary.org/obo/PATO_
# extension_definitions:
#   - slot_name: source_jsonpath
#     property: ext:source_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: target_jsonpath
#     property: ext:target_jsonpath
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: transform_rule
#     property: ext:transform_rule
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#   - slot_name: context_language
#     property: ext:context_language
#     type_hint: http://www.w3.org/2001/XMLSchema#string
# mapping_set_id: https://example.org/mappings/kobo-record-136-to-schemaorg
# mapping_set_title: Kobo Record 136 to Schema.org Dataset Mapping
# mapping_set_description: SSSOM mapping from KoboToolbox record 136 raw JSON to Gaia Catalog JSON-LD.
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	predicate_id	object_id	mapping_justification	confidence	subject_label	object_label	subject_category	object_category	source_jsonpath	target_jsonpath	transform_rule	comment
kobo:Dataset	skos:exactMatch	schema:Dataset	semapv:ManualMappingCuration	1.0	Kobo dataset record	Dataset	owl:Class	owl:Class	$.datasets[*]	$	create_dataset_object_with_id	Each Kobo submission becomes one Schema.org Dataset. Emit @id from etl_group/table_name as https://gdsc.idsc.miami.edu/detail/{table_name}. Extend @context with qudt, xsd, pato and set @language to en.
kobo:title	skos:exactMatch	schema:name	semapv:ManualMappingCuration	1.0	Title	name	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/title']	$.name	string	Kobo title is the Schema.org Dataset name.
kobo:description	skos:exactMatch	schema:description	semapv:ManualMappingCuration	1.0	Description	description	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/description']	$.description	string	Dataset abstract or description.
kobo:doi	skos:exactMatch	schema:identifier	semapv:ManualMappingCuration	1.0	DOI	identifier	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/doi']	$.identifier	doi_to_propertyvalue	Emit {"@type":"PropertyValue","propertyID":"https://registry.identifiers.org/registry/doi","value":"doi:{value}","url":"https://doi.org/{value}"}.
kobo:url	skos:exactMatch	schema:url	semapv:ManualMappingCuration	1.0	URL	url	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/url']	$.url	string	Dataset landing page URL.
kobo:license	skos:exactMatch	schema:license	semapv:ManualMappingCuration	1.0	License	license	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/license']	$.license	license_code_to_uri:cc_by=https://creativecommons.org/licenses/by/4.0/,cc0=https://creativecommons.org/publicdomain/zero/1.0/,cc_by_sa=https://creativecommons.org/licenses/by-sa/4.0/,cc_by_nc=https://creativecommons.org/licenses/by-nc/4.0/	Map known Kobo license codes to full URIs: cc_by→https://creativecommons.org/licenses/by/4.0/, cc0→https://creativecommons.org/publicdomain/zero/1.0/, etc.
kobo:language	skos:exactMatch	schema:inLanguage	semapv:ManualMappingCuration	1.0	Language	inLanguage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/language']	$.inLanguage	string	Language code.
kobo:publication_date	skos:exactMatch	schema:datePublished	semapv:ManualMappingCuration	1.0	Publication date	datePublished	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/publication_date']	$.datePublished	date	Publication date.
kobo:last_updated	skos:exactMatch	schema:dateModified	semapv:ManualMappingCuration	1.0	Last updated	dateModified	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['etl_group/last_updated']	$.dateModified	date	Last data update.
kobo:creator_name	skos:closeMatch	schema:creator	semapv:ManualMappingCuration	0.9	Creator name	creator	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/creator_group'][*]	$.creator	role_organization_array	Map creator_name→Organization.name, creator_affiliation→Organization description; wrap each in a Role object with roleName=creator.
kobo:publisher_name	skos:closeMatch	schema:provider	semapv:ManualMappingCuration	0.85	Publisher name	provider	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/publisher_group'][*]	$.provider	provider_organization_array	Map publisher_name→Organization.name; resolve known institutions to ROR @id (University of Miami GDSC→https://ror.org/02y3ad647).
kobo:coverage_name	skos:closeMatch	schema:spatialCoverage	semapv:ManualMappingCuration	0.85	Coverage name	spatialCoverage	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/coverage_group'][*]	$.spatialCoverage	place_object_with_geonames	Map coverage_name→Place.name; build additionalProperty with GeoNames link from coverage_identifier and coverage_identifier_schema_uri. Bounding box geo.box must be supplied externally.
kobo:subject_terms	skos:closeMatch	schema:keywords	semapv:ManualMappingCuration	0.9	Subject terms	keywords	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['dublin_core_group/subject_group'][*]['dublin_core_group/subject_group/subject_term']	$.keywords	array	Subject terms are discoverability keywords.
kobo:collections	skos:closeMatch	schema:includedInDataCatalog	semapv:ManualMappingCuration	0.8	Collections	includedInDataCatalog	owl:ObjectProperty	owl:ObjectProperty	$.datasets[*]['collection_group/collections']	$.includedInDataCatalog	datacatalog_objects	Split on space; each token becomes a DataCatalog with @id=https://gdsc.idsc.miami.edu/?collection={token}. Always prepend root GDSC DataCatalog entry (https://gdsc.idsc.miami.edu).
