Station_ID,Start_Date_UTC,Start_Time_UTC,Start_ISO_DateTime_UTC,Start_Latitude,Start_Longitude,Event_ID,Sample_ID,Station_Depth,Sample_Pressure,DIC_13_12_D_Delta_Bottle,SD1_DIC_13_12_D_Delta_Bottle,Flag_DIC_13_12_D_Delta_Bottle
1,2022-12-04,00:38,2022-12-04T01:15Z,-19.99984,-152.00026,20221203.2248.001,15933,4242,25.4,0.84,0.03,2
1,2022-12-04,00:38,2022-12-04T01:08Z,-19.99984,-152.00026,20221203.2248.001,15935,4242,101.6,0.81,0.03,2
1,2022-12-04,00:38,2022-12-04T01:12Z,-19.99984,-152.00026,20221203.2248.001,15934,4242,62.1,0.80,0.03,2
1,2022-12-04,00:38,2022-12-04T01:05Z,-19.99984,-152.00026,20221203.2248.001,15936,4242,133.8,0.66,0.03,2
1,2022-12-04,00:38,2022-12-04T01:03Z,-19.99984,-152.00026,20221203.2248.001,15937,4242,148.9,0.61,0.03,2
1,2022-12-04,00:38,2022-12-04T01:00Z,-19.99984,-152.00026,20221203.2248.001,15938,4242,203.8,0.37,0.03,2
1,2022-12-04,00:38,2022-12-04T00:57Z,-19.99984,-152.00026,20221203.2248.001,15939,4242,288.8,0.58,0.03,2
1,2022-12-04,00:38,2022-12-04T00:53Z,-19.99984,-152.00026,20221203.2248.001,15940,4242,404.1,0.74,0.03,2
1,2022-12-04,00:38,2022-12-04T00:49Z,-19.99984,-152.00026,20221203.2248.001,15941,4242,504.8,0.84,0.03,2
1,2022-12-04,00:38,2022-12-04T00:45Z,-19.99984,-152.00026,20221203.2248.001,15942,4242,630.3,0.81,0.03,2
1,2022-12-04,00:38,2022-12-04T00:42Z,-19.99984,-152.00026,20221203.2248.001,15943,4242,705.3,0.81,0.03,2
1,2022-12-04,00:38,2022-12-04T00:38Z,-19.99984,-152.00026,20221203.2248.001,15944,4242,806.1,0.76,0.03,2
1,2022-12-05,10:56,2022-12-05T12:29Z,-20.00014,-152.00014,20221205.0612.001,16007,4242,1008.3,0.57,0.03,2
1,2022-12-05,10:56,2022-12-05T12:22Z,-20.00014,-152.00014,20221205.0612.001,16008,4242,1213,0.43,0.03,2
1,2022-12-05,10:56,2022-12-05T12:14Z,-20.00014,-152.00014,20221205.0612.001,16009,4242,1566.3,0.30,0.03,2
1,2022-12-05,10:56,2022-12-05T11:57Z,-20.00014,-152.00014,20221205.0612.001,16011,4242,2225.8,0.23,0.03,2
1,2022-12-05,10:56,2022-12-05T11:52Z,-20.00014,-152.00014,20221205.0612.001,16012,4242,2428.5,0.23,0.03,2
1,2022-12-05,10:56,2022-12-05T11:46Z,-20.00014,-152.00014,20221205.0612.001,16013,4242,2632.8,0.23,0.03,2
1,2022-12-05,10:56,2022-12-05T11:37Z,-20.00014,-152.00014,20221205.0612.001,16014,4242,3039.9,0.25,0.03,2
1,2022-12-05,10:56,2022-12-05T11:27Z,-20.00014,-152.00014,20221205.0612.001,16015,4242,3449.9,0.27,0.03,2
1,2022-12-05,10:56,2022-12-05T11:16Z,-20.00014,-152.00014,20221205.0612.001,16016,4242,3856.9,0.28,0.03,2
1,2022-12-05,10:56,2022-12-05T11:05Z,-20.00014,-152.00014,20221205.0612.001,16017,4242,4262.5,0.32,0.03,2
1,2022-12-05,10:56,2022-12-05T10:56Z,-20.00014,-152.00014,20221205.0612.001,16018,4242,4280.7,0.33,0.03,2
2,2022-12-06,05:09,2022-12-06T05:52Z,-22.4998,-151.62962,20221206.0405.001,16023,4291,5.5,0.78,0.03,2
2,2022-12-06,05:09,2022-12-06T05:49Z,-22.4998,-151.62962,20221206.0405.001,16024,4291,25.8,0.85,0.03,2
2,2022-12-06,05:09,2022-12-06T05:47Z,-22.4998,-151.62962,20221206.0405.001,16025,4291,35.9,0.84,0.03,2
2,2022-12-06,05:09,2022-12-06T05:43Z,-22.4998,-151.62962,20221206.0405.001,16026,4291,76.6,0.72,0.03,2
2,2022-12-06,05:09,2022-12-06T05:40Z,-22.4998,-151.62962,20221206.0405.001,16027,4291,111.1,0.64,0.03,2
2,2022-12-06,05:09,2022-12-06T05:38Z,-22.4998,-151.62962,20221206.0405.001,16028,4291,136.6,0.58,0.03,2
2,2022-12-06,05:09,2022-12-06T05:35Z,-22.4998,-151.62962,20221206.0405.001,16029,4291,192.1,0.47,0.03,2
2,2022-12-06,05:09,2022-12-06T05:32Z,-22.4998,-151.62962,20221206.0405.001,16030,4291,254,0.53,0.03,2
2,2022-12-06,05:09,2022-12-06T05:28Z,-22.4998,-151.62962,20221206.0405.001,16031,4291,354.4,0.70,0.03,2
2,2022-12-06,05:09,2022-12-06T05:24Z,-22.4998,-151.62962,20221206.0405.001,16032,4291,480.1,0.90,0.03,2
2,2022-12-06,05:09,2022-12-06T05:24Z,-22.4998,-151.62962,20221206.0405.001,16032,4291,480.1,0.90,0.03,6
2,2022-12-06,05:09,2022-12-06T05:20Z,-22.4998,-151.62962,20221206.0405.001,16033,4291,605.3,0.97,0.03,2
2,2022-12-06,05:09,2022-12-06T05:15Z,-22.4998,-151.62962,20221206.0405.001,16034,4291,807,0.89,0.03,2
2,2022-12-06,05:09,2022-12-06T05:09Z,-22.4998,-151.62962,20221206.0405.001,16035,4291,1011.2,0.63,0.03,2
3,2022-12-07,04:16,2022-12-07T04:59Z,-24.99958,-151.25001,20221207.0419.001,16131,4659,5.9,0.66,0.03,2
3,2022-12-06,20:22,2022-12-06T20:58Z,-24.99956,-151.24998,20221206.1840.001,16115,4659,24.9,0.71,0.03,2
3,2022-12-06,20:22,2022-12-06T20:55Z,-24.99956,-151.24998,20221206.1840.001,16116,4659,62.3,0.67,0.03,2
3,2022-12-06,20:22,2022-12-06T20:52Z,-24.99956,-151.24998,20221206.1840.001,16117,4659,93.6,0.65,0.03,2
3,2022-12-06,20:22,2022-12-06T20:49Z,-24.99956,-151.24998,20221206.1840.001,16118,4659,133.8,0.54,0.03,2
3,2022-12-06,20:22,2022-12-06T20:47Z,-24.99956,-151.24998,20221206.1840.001,16119,4659,171.3,0.55,0.03,2
3,2022-12-06,20:22,2022-12-06T20:44Z,-24.99956,-151.24998,20221206.1840.001,16120,4659,201.7,0.39,0.03,2
3,2022-12-06,20:22,2022-12-06T20:41Z,-24.99956,-151.24998,20221206.1840.001,16121,4659,237.2,0.53,0.03,2
3,2022-12-06,20:22,2022-12-06T20:38Z,-24.99956,-151.24998,20221206.1840.001,16122,4659,302.9,0.59,0.03,2
3,2022-12-06,20:22,2022-12-06T20:34Z,-24.99956,-151.24998,20221206.1840.001,16123,4659,404,0.85,0.03,2
3,2022-12-06,20:22,2022-12-06T20:31Z,-24.99956,-151.24998,20221206.1840.001,16124,4659,503.6,0.95,0.03,2
