sta,date,time2,date_local,time_local,latitude,longitude,event,depth_n,Cs137,err_Cs137,Cs134,err_Cs134,Cs134_Cs137,err_Cs134_Cs137
dimensionless,unitless,hhmm,yymmdd,hhmm,degrees_north,degrees_east,dimensionless,meters,Bq/meter^3,Bq/meter^3,Bq/meter^3,Bq/meter^3,Bq/meter^3,Bq/meter^3
2.0,20110606,2135,20110607,0635,34.498,147.0,11158_0632,2,2.59,0.61,1.70,0.5,1.53,0.57
4.0,20110607,2145,20110608,0645,35.502,146.999,11159_0645,2,316.94,9.76,314.86,8.64,1.01,0.04
5.0,20110608,0320,20110608,1220,35.993,147.016,11159_1220,2,25.23,0.74,23.33,0.66,1.08,0.04
7.0,20110608,1538,20110609,0038,36.991,147.0,11160_0038,2,201.84,5.26,203.07,4.25,0.99,0.03
8.0,20110608,1545,20110609,0045,37.502,147.0,11160_0722,2,336.44,8.39,333.65,6.62,1.01,0.03
9.0,20110609,0435,20110609,1335,37.984,147.021,11160_1335,2,71.46,2.05,70.33,1.77,1.02,0.04
9.1,20110609,1028,20110609,1928,37.998,146.308,11160_1928,2,204.73,5.27,199.16,4.15,1.03,0.03
9.2,20110609,1502,20110610,0002,38.0,145.317,11161_0002,2,92.32,3.78,90.69,3.77,1.02,0.06
9.3,20110609,1911,20110610,0411,38.001,144.417,11161_0411,2,99.86,3.53,104.24,3.44,0.96,0.05
10.0,20110609,2123,20110610,0623,37.998,143.996,11161_0623,2,166.21,5.21,167.34,4.77,0.99,0.04
11.0,20110610,0430,20110610,1330,37.511,144.003,11161_1330,2,99.53,3.08,104.14,2.9,0.96,0.04
12.0,20110610,0922,20110610,1822,36.996,144.004,11161_1822,2,89.09,2.02,85.84,1.35,1.04,0.03
14.1,20110611,0856,20110611,1756,35.566,143.949,11162_1756,2,2.03,0.18,bd,NaN,bd,NaN
14.2,20110611,1307,20110611,2207,35.936,143.725,11162_2207,2,2.0,0.16,bd,NaN,bd,NaN
14.3,20110611,1654,20110612,0154,36.288,143.358,11163_0154,2,1.79,0.29,bd,NaN,bd,NaN
14.0,20110610,2047,20110611,0547,35.996,144.006,11162_0547,2,2.27,0.37,1.09,0.55,2.08,1.11
17.0,20110611,1956,20110612,0456,36.504,143.01,11163_0456,2,3.29,0.21,1.52,0.2,2.17,0.33
18.0,20110612,0215,20110612,1115,36.999,143.0,11163_1115,2,204.22,4.7,204.31,3.3,1.00,0.03
19.0,20110612,0735,20110612,1635,37.505,142.995,11163_1635,2,235.78,5.42,244.42,3.87,0.96,0.03
20.0,20110612,1850,20110613,0350,38.0,143.003,11164_0350,2,22.16,0.65,21.87,0.6,1.01,0.04
21.0,20110613,0135,20110613,1035,37.501,142.486,11164_1035,2,211.26,5.96,222.61,5.2,0.95,0.03
22.0,20110613,1313,20110613,2213,38.0,142.501,11164_2213,2,211.32,5.86,216.16,5.01,0.98,0.04
22.5,20110613,1702,20110614,0202,37.767,142.261,11165_0202,2,387.7,8.34,396.13,5.23,0.98,0.02
23.0,20110613,1942,20110614,0442,37.496,142.0,11165_0442,2,821.82,17.58,834.29,10.95,0.99,0.02
23.5,20110614,0535,20110614,1435,37.733,142.026,11165_1435,2,474.66,11.84,475.96,9.14,1.00,0.03
24.0,20110614,0747,20110614,1647,38.001,141.997,11165_1647,2,43.2,1.37,42.19,1.26,1.02,0.04
24.5,20110614,1155,20110614,2055,37.757,141.708,11165_2055,2,379.52,10.63,403.22,9.34,0.94,0.03
25.0,20110614,1525,20110615,0025,37.531,141.446,11166_0025,2,582.26,13.92,594.94,10.3,0.98,0.03
25.5,20110615,0520,20110615,1420,37.333,141.424,11166_1420,2,748.69,19.27,773.14,15.66,0.97,0.03
26.0,20110615,0708,20110615,1612,36.998,141.4,11166_1612,2,460.26,11.03,464.71,8.2,0.99,0.03
26.5,20110615,1015,20110615,1915,36.745,141.404,11166_1915,2,536.68,13.55,555.67,10.82,0.97,0.03
27.0,20110615,1230,20110615,2130,36.497,141.398,11166_2130,2,716.57,19.52,752.72,16.66,0.95,0.03
27.5,20110616,0052,20110616,0952,36.25,141.402,11167_0952,2,538.75,11.57,551.26,7.26,0.98,0.02
28.0,20110616,0259,20110616,1159,36.006,141.399,11167_1159,2,7.94,0.61,6.54,0.65,1.21,0.15
28.5,20110616,0700,20110616,1600,36.244,141.717,11167_1600,2,1622.4,39.33,1704.87,30.66,0.95,0.03
29.0,20110616,0950,20110616,1850,36.498,142.01,11167_1850,2,3477.02,70.27,3564.92,37.32,0.98,0.02
29.0,20110616,0951,20110616,1851,36.455,141.948,11167_1851,2,4496.75,105.82,4575.04,76.81,0.98,0.03
29.1,20110616,0856,20110616,1756,36.455,141.948,11167_1756,2,2650.75,54.65,2758.46,31.75,0.96,0.02
30.0,20110617,0150,20110617,1050,36.496,142.495,11168_1050,2,720.19,17.5,737.79,13.26,0.98,0.03
31.0,20110617,0725,20110617,1625,36.999,142.5,11168_1625,2,439.91,11.0,453.29,8.69,0.97,0.03
32.0,20110617,1215,20110617,2115,36.998,142.001,11168_2115,2,326.7,7.72,331.70,5.7,0.98,0.03
32.1,20110617,1918,20110618,0418,37.247,141.698,11169_0418,2,416.84,10.68,417.95,8.53,1.00,0.03
32.2,20110617,2055,20110618,0555,36.988,141.699,11169_0555,2,250.34,9.38,247.85,9.07,1.01,0.05
32.3,20110617,2204,20110618,0704,36.834,141.702,11169_0704,2,371.05,8.28,370.91,5.52,1.00,0.03
32.4,20110618,0058,20110618,0958,36.406,141.641,11169_0958,2,1862.96,41.74,1848.67,27.79,1.01,0.03
32.5,20110618,0413,20110618,1313,35.991,141.693,11169_1313,2,2.33,0.22,bd,NaN,bd,NaN
32.6,20110618,0617,20110618,1517,35.788,141.534,11169_1517,2,1.68,0.17,bd,NaN,bd,NaN
